page,line,text
243,6,"person. 142 Later that day, Yates and Mary McCord , a senior national security official at the"
243,7,"Department of Justice , met at the White House with McGahn and White House Counsel's Office"
243,8,attorney James Burnham. 143 Yates said that the public statements made by the Vice President
243,9,denying that Flynn and Kislyak discussed sanctions were not true and put Flynn in a potentially
243,10,compromised position because the Russians would know he had lied. 144 Yates disclosed that Flynn
243,11,had been interviewed by the FBI. 145 She declined to answer a specific question about how Flynn
243,12,"had performed during that interview , 146 but she indicated that Flynn ' s statements to the FBI were"
243,13,similar to the statements he had made to Pence and Spicer denying that he had discussed
243,14,sanctions. 147 McGahn came away from the meeting with the impression that the FBI had not
243,15,"pinned Flynn down in lies, 148 but he asked John Eisenberg, who served as legal advisor to the"
243,16,"National Security Council , to examine potential legal issues raised by Flynn's FBI interview and"
243,17,his contacts with Kislyak. 149
243,18,"That afternoon , McGahn notified the President that Yates had come to the White House to"
243,19,"discuss concerns about Flynn .150 McGahn described what Yates had told him , and the President"
243,20,"asked him to repeat it, so he did. 151 McGahn recalled that when he described the FBI interview of"
243,21,"F lynn , he said that Flynn did not disclose having discussed sanction s with Kislyak , but that there"
243,22,may not have been a clear violation of 18 U.S.C. § I 001. 152 The President asked about Section
243,23,"1001, and McGahn explained the law to him, and also explained the Logan Act. 153 The President"
243,24,142
243,25,"Yates 8/ 15/17 302, at 6."
243,26,143
243,27,"Yates 8/15/ 17 302, at 6; McCord 7/17/ 17 302, at 6; SCR0l5 000198 (2/15/ 17 Draft"
243,28,Memorandum to file from the Office of the Counsel to the President).
243,29,144
243,30,"Yates 8/15/ 17 302, at 6-8; McCord 7/ 17/ 17 302, at 6-7; Burnham 11/3/ 17 302, at 4;"
243,31,SCROl 5_000198 (2/15/17 Draft Memorandum to file from the Office of the Counsel to the President).
243,32,145
243,33,"McGahn 11/30/ 17 302, at 5; Yates 8/15/17 302, at 7; McCord 7/ 17/17 302, at 7; Burnham"
243,34,"11/3/17 302, at 4."
243,35,146
243,36,"Yates 8/ 15/17 302, at 7; McCord 7/17/ 17 302, at 7."
243,37,147
243,38,SCR015_000198 (2/15/17 Draft Memorandum to file from the Office of the Counsel to the
243,39,"President); Burnham 11/3/ 17 302, at 4."
243,40,148
243,41,"McGahn 11/30/17 302, at 5."
243,42,149
243,43,SCR0l5_000198 (2/ 15/17 Draft Memorandum to file from the Office of the Counsel to the
243,44,"President); McGahn 11/30/17 302, at 6, 8."
243,45,150
243,46,"McGahn 11/30/ 17 302, at 6; SCR0l5_000278 (White House Counsel's Office Memorandum"
243,47,"re: ""Flynn Tick Tock"") (on January 26, ""McGahn IMMEDIATELY advises POTUS"") ; SCR015_000198"
243,48,(2/15/ 17 Draft Memorandum to file from the Office of the Counsel to the President).
243,49,151
243,50,"McGahn 11/30/17 302, at 6."
243,51,152
243,52,"McGahn I 1/30/17 302, at 7."
243,53,153
243,54,"McGahn I 1/30/ 17 302, at 7."
243,55,31
243,56,NA
244,1,U.S. Department of Justice
244,2,AH:erfl:e~·   \llerk PreElttet// May Cefl:taiH.Material PreteeteEIUfl:ElerFeEI.R. Crim. P. 6(e)
244,3,instructed McGahn to work with Priebus and Bannon to look into the matter further and directed
244,4,that they not discuss it with any other officials. 154 Priebus recalled that the President was angry
244,5,"with Flynn in light of what Yates had told the White House and said, ""not again , this guy, this"
244,6,"stuff. "" I 55"
244,7,"That evening, the President dined with several senior advisors and asked the group what"
244,8,they thought about FBI Director Comey. 156 According to Director of National Intelligence Dan
244,9,"Coats, who was at the dinner, no one openly advocated terminating Comey but the consensus on"
244,10,him was not positive. 157 Coats told the group that he thought Comey was a good director. 158 Coats
244,11,encouraged the President to meet Comey face-to -face and spend time with him before making a
244,12,decision about whether to retain him . 159
244,13,5. McGahn has a Follow-Up Meeting About Flynn with Yates; President Trump
244,14,has Dinner with FBI Director Comey
244,15,"The next day, January 27, 2017, McGahn and Eisenberg discussed the results of"
244,16,"Eisenberg's initial legal research into Flynn's conduct, and specifically whether Flynn may have"
244,17,"violated the Espionage Act, the Logan Act , or 18 U .S.C. § 1001. 160 Based on his prelim inary"
244,18,"research, Eisenberg informed McGahn that there was a possibility that Flynn had violated 18"
244,19,U.S.C. § 1001 and the Logan Act. 16 1 Eisenberg noted that the United States had never successfully
244,20,"prosecuted an individual under the Logan Act and that Flynn could have possible defenses , and"
244,21,"154 McGahn 11/30/17 302, at 7; SCRO15_000 I 98-99 (2/ 15/17 Draft Memorandum to file from the"
244,22,Office of the Counsel to the President).
244,23,155
244,24,"Priebus 10/13/17 302, at 8. Several witnesses said that the President was unhappy with Flynn"
244,25,for other reasons at this time. Bannon said that Flynn's standing with the President was not good by
244,26,"December 2016. Bannon 2/12/18 302, at 12. The President-Elect had concerns because President Obama"
244,27,"had warned him about Flynn shortly after the election. Bannon 2/ 12/18 302, at 4-5; Hicks 12/8/ 17 302, at"
244,28,7 (President Obama ' s comment sat with President- Elect Trump more than Hicks expected). Priebus said
244,29,that the President had become unhappy with Flynn even before the story of his calls with Kislyak broke
244,30,and had become so upset with Flynn that he would not look at him during intelligence briefings. Priebus
244,31,"1/18/18 302, at 8. Hicks said that the President thought Flynn had bad judgment and was angered by tweets"
244,32,"sent by Flynn and his son, and she described Flynn as ""being on thin ice"" by early February 2017. Hicks"
244,33,"12/8/17 302, at 7, 10."
244,34,156
244,35,"Coats 6/ 14/ 17 302, at 2."
244,36,157
244,37,"Coats 6/14/ 17 302, at 2."
244,38,158
244,39,"Coats 6/14/17 302, at 2."
244,40,159
244,41,"Coats 6/14/17 302, at 2."
244,42,160 SCR015_000199 (2/15/17 Draft Memorandum to file from the Office of the Counsel to the
244,43,"President); McGahn 11/30/17 302, at 8."
244,44,161 SCR015_000199 (2/15/ 17 Draft Memorandum to file from the Office of the Counsel to the
244,45,"President); Eisenberg 11/29/ 17 302, at 9."
244,46,32
244,47,NA
245,1,U.S. Department of Justice
245,2,At:tertte~·Werk Prmhtet // May CetttaiH:Material Pi=eteeteclUH:clerFecl. R. Criffl. P. 6(e)
245,3,told McGahn that he believed it was unlikely that a prosecutor would pursue a Logan Act charge
245,4,under the circumstances. 162
245,5,"That same morning, McGahn asked Yates to return to the White House to discuss Flynn"
245,6,"again. I63 In that second meeting , McGahn expressed doubts that the Department of Justice would"
245,7,"bring a Logan Act prosecution against Flynn, but stated that the White House did not want to take"
245,8,action that would interfere with an ongoing FBI investigation of Flynn. 164 Yates responded that
245,9,Department ofJustice had notified the White House so that it could take action in response to the
245,10,infonnation provided. 165 McGahn ended the meeting by asking Yates for access to the underlying
245,11,information the Department of Justice possessed pertaining to Flynn's discussions with Kislyak. 166
245,12,"Also on January 27, the President called FBI Director Comey and invited him to dinner"
245,13,"that evening . 167 Priebus recalled that before the dinner , he told the President something like, ""don't"
245,14,"talk about Russia, whatever you do,"" and the President promised he would not talk about Russia"
245,15,at the dinner .168 McGahn had previously advised the President that he should not communicate
245,16,directly with the Department of Justice to avoid the perception or reality of political interference
245,17,"in law enforcement. 169 When Bannon learned about the President 's planned dinner with Comey,"
245,18,"he suggested that he or Priebus also attend , but the President stated that he wanted to dine with"
245,19,°
245,20,"Comey alone. 17 Corney said that when he arrived for the dinner that evening, he was surprised"
245,21,and concerned to see that no one else had been invited. 171
245,22,162
245,23,SCR0l5 _000199 (2/15/17 Draft Memorandum to file from the Office of the Counsel to the
245,24,"President); Eisenberg 11/29/17 302 , at 9."
245,25,163
245,26,SCR015 _000199 (2/15/17 Draft Memorandum to file from the Office of the Counsel to the
245,27,"President); McGahn 11/30/ 17 302, at 8; Yates 8/15/ 17 302, at 8."
245,28,164
245,29,"Yates 8/15/17 302 , at 9; McGahn 11/30/17 302, at 8."
245,30,165
245,31,"Yates 8/15/17 302, at 9; Burnham 11/3/ 17 302, at 5; see SCR015 _00199 (2/15/17 Draft"
245,32,"Memorandum to file from the Office of the Counsel to the Presid ent) (""Yates was unwilling to confirm or"
245,33,deny that there was an ongoing investigation but did indicate that the Department of Justice would not
245,34,"object to the White House taking action against Flynn."")."
245,35,166
245,36,"Yates 9/15~17 302, at 9; Burnham 11/3/ 17 302 , at 5. In accordance with McGahn's request , the"
245,37,Department of Justice made the underlying information available and Eisenberg viewed the information in
245,38,"early February. Eisenberg 11/29/17 302 , at 5; FBI 2/7/17 Electronic Communication, at I (documenting"
245,39,2/2/17 meeting with Eisenberg).
245,40,167
245,41,"Comey 11/ 15/17 302, at 6; SCR0l2b_000O0I (President's Daily Diary , 1/27/17); Hearing on"
245,42,"Russian Election Interference Before the Senate Select Intelligence Committee , 115th Cong. (June 8, 2017)"
245,43,"(Statement for the Record of James B. Comey, former Director of the FBI, at 2-3)."
245,44,168
245,45,"Priebus I 0/ 13/17 302 , at 17."
245,46,169
245,47,"See McGahn I 1/30/1 7 302, at 9; Dhillon 11/2 1/ 17 302, at 2; Bannon 2/ 12/ 18 302, at 17."
245,48,170
245,49,"Bannon 2/ 12/1 8 302, at 17."
245,50,171
245,51,"Hearing on Russian Election Interference Before the Senate Select Intelligen ce Committee,"
245,52,"I 15th Cong. (June 8, 2017) (Statement for the Record of James B. Comey, former Director of the FBI, at"
245,53,"3); see Comey 11/15/17 302, at 6."
245,54,33
245,55,NA
246,1,U.S. Department of Justice
246,2,Attorney Work Proeit:iet// May CoHtaiH Material Pwteeteti UHtier Feti. R. Crim. P. 6(e)
246,3,"Comey provided an account of the dinner in a contemporaneous memo, an interview with"
246,4,"this Office, and congressional testimony. According to Comey's account of the dinner, the"
246,5,"President repeatedly brought up Comey's future, asking whether he wanted to stay on as FBI"
246,6,"director. 172 Because the President had previously said he wanted Comey to stay on as FBI director,"
246,7,Comey interpreted the President's comments as an effort to create a patronage relationship by
246,8,having Comey ask for his job. 173 The President also brought up the Steele reporting that Corney
246,9,"had raised in the January 6, 2017 briefing and stated that he was thinking about ordering the FBI"
246,10,to investigate the allegations to prove they were false. 174 Comey responded that the President
246,11,should think carefully about issuing such an order because it could create a narrative that the FBI
246,12,"was investigating him personally, which was incorrect. 175 Later in the dinner, the President"
246,13,"brought up Flynn and said, ""the guy has serious judgment issues."" 176 Comey did not comment on"
246,14,Flynn and the President did not acknowledge any FBI interest in or contact with Flynn. 177
246,15,"According to Comey's account, at one point during the dinner the President stated , ""I need"
246,16,"loyalty , I expect loyalty ."" 178 Comey did not respond and the conversation moved on to other"
246,17,"topics , but the President returned to the subject of Comey ' s job at the end of the dinner and"
246,18,"repeated, ""I need loyalty."" 179 Comey responded, ""You will always get honesty from me."" 180 The"
246,19,172
246,20,"Comey I 1/15/17 302, at 7; Corney 1/28/17 Memorandum, at I, 3; Hearing on Russian Election"
246,21,"Interference Before the Senate Select Intelligence Committee, I 15th Cong. (June 8, 2017) (Statement for"
246,22,"the Record of James B. Comey, former Director of the FBT, at 3)."
246,23,173
246,24,"Comey 11/15/17 302, at 7; Hearing on Russian Election Interference Before the Senate Select"
246,25,"Intelligence Committee, 115th Cong. (June 8, 2017) (Statement for the Record ofJames B. Comey, former"
246,26,"Director of the FBI, at 3)."
246,27,174
246,28,"Comey 1/28/ 17 Memorandum , at 3; Hearing on Russian Election Interference Before the Senate"
246,29,"Select Intelligence Committee, I 15th Cong. (June 8, 2017) (Statement for the Record of James B. Comey,"
246,30,"former Director of the FBI, at 4)."
246,31,175
246,32,"Comey 1/28/17 Memorandum , at 3; Hearing on Russian Election Interference Before the Senate"
246,33,"Select Intelligence Committee, I 15th Cong. (June 8, 2017) (Statement for the Record of James B. Comey,"
246,34,"former Director of the FBI, at 4)."
246,35,176
246,36,"Comey 1/28/17 Memorandum , at 4; Corney 11/15/17 302, at 7 ."
246,37,177
246,38,"Comey 1/28/17 Memorandum, at 4; Corney I 1/ 15/17 302, at 7."
246,39,178
246,40,"Comey 1/28/18 Memorandum, at 2; Corney 11/ 15/ 17 302, at 7; Hearing on Russian Election"
246,41,"Interference Before the Senate Select Intelligence Committee, I 15th Cong. (June 8, 2017) (Statement for"
246,42,"the Record of James B. Comey , former Director of the FBI, at 3)."
246,43,179
246,44,"Comey 1/28/ 17 Memorandum, at 3; Corney 11/ 15/ 17 302, at 7; Hearing on Russian Election"
246,45,"Interferenc e Before the Senate Select Intelligence Committee, I 15th Cong. (June 8, 2017) (Statement for"
246,46,"the Record of James B. Comey, former Director of the FBI, at 3-4)."
246,47,18
246,48,"° Comey 1/28/17 Memorandum, at 3; Corney 11/ 15/ 17 302, at 7; Hearing on Russian Election"
246,49,"Interfer ence Before the Senate Select Intelligence Committee, 115th Cong. (June 8, 20 I 7) (Statement for"
246,50,"the Record of James B. Comey, form er Director of the FBI, at 4)."
246,51,34
246,52,NA
247,1,U.S. Department of Justice
247,2,"Attel'fte'.>'1.\'e,rk Pre1:h:1et"
247,3,"// ~b,. Cet1tait1Material Preteeteti Ut1tierFet:i.R. Griff!.P. 6(e)"
247,4,"President said, ""That's         what I want, honest loyalty. "" 181 Comey said, ""Yo u will get that from"
247,5,"me. "" 1s2"
247,6,"After Comey's account of the dinner became public, the President and his advisors disputed"
247,7,that he had asked for Comey's loyalty. 183 The President also indicated that he had not invited
247,8,"Comey to dinner, telling a reporter that he thought Corney had ""asked for the dinner "" because ""he"
247,9,"wanted to stay on."" I84 But substantial evidence corroborates Comey's account of the dinner"
247,10,invitation and the request for loyalty. The President's Daily Diary confirms that the President
247,11,"""extend[ed] a dinner invitation"" to Comey on January 27. 185 With respect to th e substance of the"
247,12,"dinner conversation, Comey documented the President's request for loyalty in a memorandum he"
247,13,began drafting the night of the dinner; 186 senior FBI officials recall that Comey told them about
247,14,the loyalty request shortly after the dinner occurred; 187 and Comey described the request while
247,15,181
247,16,"Comey 1/28/17 Memorandum, at 3; Corney 11/ 15/17 302, at 7; Hearing on Russian Election"
247,17,"Interference Before the Senate Select Intelligence Committee, I 15th Cong. (June 8, 2017) (Statement for"
247,18,"the Record of James B . Comey, former Director of the FBI, at 4)."
247,19,182
247,20,"Comey 1/28/17 Memorandum, at 3; Corney 11/15/ 17 302, at 7; Hearing on Russian Election"
247,21,"Interference Before the Senate Select Intellig ence Committee , I 15th Cong. (June 8, 2017) (Statement for"
247,22,"the Record of James B. Comey, former Director of the FBI, at 4)."
247,23,183
247,24,"See, e.g., Michael S. Schmidt, In a Private Dinner, Trump Demanded Loyalty . Comey"
247,25,"Demurred., New York Times (May 11, 2017) (quoting Sarah Sanders as saying, ""[The President ] would"
247,26,"never even suggest the expectation of personal loyalty"") ; Ali Vitali, Trump Never Asked for Comey's"
247,27,"Loyalty, President's Personal Lawyer Says, NBC (June 8, 2017) (quoting the President 's personal counsel"
247,28,"as saying, ""The president also never told Mr. Comey, ' I need loyalty, T expect loyalty ,' in form or"
247,29,"substance.""); Remarks by President Trump in Press Conference, White House (June 9, 2017) (""I hardly"
247,30,know the man. I' m not going to say ' I want you to pledge allegiance.' Who would do that? Who would
247,31,"ask a man to pledge allegiance under oath?"") . In a private conversation with Spicer, the President stated"
247,32,"that he had never asked for Comey's loyalty, but added that if he had asked for loyalty, ""Who cares?"""
247,33,"Spicer 10/16/17 302, at 4. The President also told McGahn that he never said what Comey said he had."
247,34,"McGahn 12/12/ 17 302, at 17."
247,35,184
247,36,"Interview of Donald J Trump, NBC (May 11, 2017)."
247,37,185
247,38,"SCR012b_OOOOOI(President's Daily Diary, 1/27/17) (reflecting that the President called Comey"
247,39,"in the morning on January 27 and ""[t]he purpose of the call was to extend a dinner invitation""). In addition,"
247,40,"two witnesses corroborate Comey's account that the President reached out to schedule the dinner, without"
247,41,"Comey having asked for it. Priebus l 0/13/17 302, at 17 (the President asked to sched ule the January 27"
247,42,dinner because he did not know much about Comey and intended to ask him whether he wanted to stay on
247,43,"as FBI Director); Rybicki I 1/2 1/18 302, at 3 (recalling that Comey told him about the President ' s dinner"
247,44,invitation on the day of the dinner) .
247,45,186
247,46,"Comey l l /15/17 302, at 8; Hearing on Russian Election Interference Before the Senate Select"
247,47,"Intelligence Committee, 115th Cong. (June 8, 2017) (Statement for the Record of James B. Comey, former"
247,48,"Director of the FBI, at 4) ."
247,49,187
247,50,"McCabe 8/17/17 302, at 9-10; Rybicki 11/21/ 18 302, at 3. After leaving the White House,"
247,51,"Comey called Deputy Director of the FBI Andrew McCabe , summarized what he and the President had"
247,52,"discu ssed, including the President's request for loyalty , and expressed shock over the President's request."
247,53,"McCabe 8/17/17 302, at 9. Comey also convened a meeting with his senior leadership team to discuss what"
247,54,the President had asked of him during the dinner and whether he had handled the request for loyalty
247,55,"properly. McCabe 8/17/17 302, at IO; Rybicki 11/2 1/18 302, at 3. In addition , Comey distributed his"
247,56,35
247,57,NA
248,1,U.S. Department of Justice
248,2,AttarHey 'Nark Praettet // May CaHtaiH Material Prateet:ed Utteer Fee. R. Cri!fl. P. 6(e)
248,3,under oath in congressional proceedings and in a subsequent interview with investigators subject
248,4,"to penalties for lying under 18 U.S.C. § I 00 I. Comey's memory of the details of the dinner,"
248,5,"including that the President requested loyalty, has remained consistent throughout. 188"
248,6,6. Flynn's Resignation
248,7,"On February 2, 2017 , Eisenberg reviewed the underlying information relating to Flynn's"
248,8,calls with Kislyak. 189 Eisenberg recalled that he prepared a memorandum about criminal statutes
248,9,"that could apply to Flynn ' s conduct, but he did not believe the White House had enough"
248,10,information to make a definitive recommendation to the President. 190 Eisenberg and McGahn
248,11,discussed that Eisenberg's review of the underlying information confirmed his preliminary
248,12,conclusion that Flynn was unlikely to be prosecuted for violating the Logan Act. I9I Because White
248,13,"House officials were uncertain what Flynn had told the FBI, however , they could not assess his"
248,14,exposure to prosecution for violating 18 U .S.C. § 1001. 192
248,15,"The week of February 6, Flynn had a one-on-one conversation with the President in the"
248,16,Oval Office about the negative media coverage of his contacts with Kislyak. I93 Flynn recalled that
248,17,the President was upset and asked him for information on the conversations. 194 Flynn listed the
248,18,"specific dates on which he remembered speaking with Kislyak, but the President corrected one of"
248,19,the dates he listed. I95 The President asked Flynn what he and Kislyak discussed and Flynn
248,20,responded that he might have talked about sanctions . I96
248,21,"memorandum documenting the dinner to his senior leadership team, and McCabe confirmed that the"
248,22,memorandum captured what Comey said on the telephone call immediately following the dinner. McCabe
248,23,"8/17/17 302, at 9-10."
248,24,188
248,25,There also is evidence that corroborates other aspects of the memoranda Comey wrote
248,26,"documenting his interactions with the President. For example, Comey recalled, and his memoranda reflect,"
248,27,"that he told the President in his January 6, 2017 meeting, and on phone calls on March 30 and April 11,"
248,28,"2017, that the FBI was not investigating the President personally. On May 8, 2017, during White House"
248,29,"discussions about firing Comey, the President told Rosenstein and others that Corney had told him three"
248,30,"times that he was not under investigation, including once in person and twice on the phone. Gauhar-000058"
248,31,(Gauhar 5/ 16/17 Notes).
248,32,189
248,33,"Eisenberg 11/29/17 302, at 5; FBI 2/7/17 Electronic Communication, at 1 (documenting 2/2/17"
248,34,meeting with Eisenberg).
248,35,190
248,36,"Eisenberg 11/29/ 17 302, at 6."
248,37,191
248,38,"Eisenberg 1l /29/17 302, at 9; SCRO15_000200 (2/15/ 17 Draft Memorandum to file from the"
248,39,Office of the Counsel to the President).
248,40,192
248,41,"Eisenberg 11/29/ 17 302, at 9."
248,42,193
248,43,"Flynn 11/21/17 302, at 2."
248,44,194
248,45,"Flynn 11/21/17 302, at 2."
248,46,195
248,47,"Flynn 11/2 1117302, at 2."
248,48,196
248,49,"Flynn 11/21/17 302, at 2-3."
248,50,36
248,51,NA
249,1,U.S. Department of Justice
249,2,"Attst=fl:e,·\li'srk Prstittct // Mtt,· CE>fl:teitt"
249,3,Mfl:1:crittl
249,4,Pt=E>teetee
249,5,Ufl:tierFcti. R. Crim. P. 6(c)
249,6,"On February 9, 2017, the Washington Post reported that Flynn discussed sanctions with"
249,7,"Kislyak the month before the President took office. 197 After the publication of that story, Vice"
249,8,President Pence learned of the Department of Justice's notification to the White House about the
249,9,content of Flynn's calls. 198 He and other advisors then sought access to and reviewed the
249,10,underlying information about Flynn's contacts with Kislyak. 199 FBI Deputy Director Andrew
249,11,"McCabe , who provided the White House officials access to the information and was present when"
249,12,"they reviewed it, recalled the officials asking him whether Flynn's conduct violated the Logan"
249,13,"Act. 200 McCabe responded that he did not know, but the FBI was investigating the matter because"
249,14,"it was a possibility. 201 Based on the evidence of Flynn's contacts with Kislyak, McGahn and"
249,15,Priebus concluded that Flynn could not have forgotten the details of the discussions of sanctions
249,16,and had instead been lying about what he discussed with Kislyak. 202 Flynn had also told White
249,17,"House officials that the FB[ had told him that the FBI was closing out its investigation of him ,203"
249,18,"but Eisenberg did not believe him. 204 After reviewing the materials and speaking with Flynn,"
249,19,McGahn and Priebus concluded that Flynn should be term inated and recommended that course of
249,20,action to the President. 205
249,21,"That weekend , Flynn accompanied the President to Mar-a-Lago. 206 Flynn recalled that on"
249,22,"February 12, 2017, on the return flight to D.C. on Air Force One , the President asked him whether"
249,23,he had lied to the Vice President. 207 Flynn responded that he may have forgotten details of his
249,24,"calls , but he did not think he lied. 20 8 The President responded, ""Okay. That's fine. T got it."" 209"
249,25,197
249,26,"Greg Miller et al., National security adviser Flynn discussed sanctions with Russian"
249,27,"ambassador, despite denials, officials say, Washington Post (Feb. 9, 2017)."
249,28,198
249,29,SCR015_000202 (2/15/17 Draft Memorandum to file from the Office of the Counsel to the
249,30,"President); McGahn l l /30/17 302, at 12."
249,31,199
249,32,SCR0\5_000202 (2/15/ 17 Draft Memorandum to file from the Office of the Counsel to the
249,33,"President); McCabe 8/17/17 302, at 11-13; Priebus 10/ 13/17 302, at 10; McGahn 11/30/ 17 302, at 12."
249,34,200
249,35,"McCabe 8/17/l 7 302, at 13."
249,36,20 1
249,37,"McCabe 8/17/17 302, at 13."
249,38,202
249,39,"McGahn 11/30/17 302, at 12; Priebus 1/ 18/18 302, at 8; Priebus 10/ 13/ 17 302, at 10;"
249,40,SCR015_000202 (2/15/17 Draft Memorandum to file from the Office ofthe Counsel to the President).
249,41,203
249,42,"McGahn 11/30/17 302, at 11; Eisenberg 11/29/17 302, at 9; Priebus 10/13/ 17 302, at 11."
249,43,204
249,44,"Eisenberg l l /29/17 302, at 9."
249,45,205
249,46,SCRO15_000202 (2/ 15/17 Draft Memorandum to file from the Office of the Counsel to the
249,47,"President); Priebus 10/13/17 302, at 10; McGahn 11/30/17 302, at 12."
249,48,206
249,49,"Flynn 11/17/17 302, at 8."
249,50,207
249,51,"Flynn 1/19/ 18 302, at 9; Flynn 11/17/17 302, at 8."
249,52,208
249,53,"Flynn 11/17/17 302, at 8; Flynn 1/19/ l 8 302, at 9."
249,54,209
249,55,"Flynn 1/19/18 302, at 9."
249,56,37
249,57,NA
250,1,U.S. Department of Justice
250,2,"Atte,mey We,rk Preiclttet// Ma)' CeiAtaiHMaterial Pre,teeteclUHclerFee . R. Criffl. P. 6(e)"
250,3,"On February 13, 2017 , Priebus told Flynn he had to resign ."
250,4,21
250,5,° Flynn said he wanted to say
250,6,"goodbye to the President, so Priebus brought him to the Oval Office. 21 1 Priebus recalled that the"
250,7,"President hugged Flynn, shook his hand, and said, ""We'll give you a good recommendation."
250,8,"You're a good guy ·. We'll take care ofyou."" 212"
250,9,Talking points on the resignation prepared by the White House Counsel's Office and
250,10,distributed to the White House communications                  team stated that McGahn had advised the
250,11,"President that Flynn was unlikely to be prosecuted , and the President had determined that the issue"
250,12,with Flynn was one of trust. 213 Spicer told the press the next day that Flynn was forced to resign
250,13,"""not based on a legal issue, but based on a trust issue, [where] a level of trust between the President"
250,14,214
250,15,"and General Flynn had eroded to the point where [the President] felt he had to make a change."""
250,16,7. The President Discusses Flynn with FBI Director Comey
250,17,"On February 14, 2017, the day after Flynn's resignation, the President had lunch at the"
250,18,"White House with New Jersey Governor Chris Christie. 21 5 According to Christie, at one point"
250,19,216
250,20,"during the lunch the President said , ""Now that we fired Flynn , the Russia thing is over.""           Christie"
250,21,2 17
250,22,"laughed and responded, ""No way.""                He said, ""this Russia thing is far from over"" and ""[w]e'll be"
250,23,"here on Valentine's Day 2018 talking about this."" 2 18 The President said , ""[w]hat do you mean?"
250,24,"Flynn met with the Russians . That was the problem. I fired Flynn. It's over. "" 219 Christie recalled"
250,25,responding that based on his experience both as a prosecutor and as someone who had been
250,26,"investigated , firing Flynn would not end the investigation. 220 Christie said there was no way to"
250,27,"make an investigation shorter, but a lot of ways to make it longer. 221 The President asked Christie"
250,28,"what he meant, and Christie told the President not to talk about the investigation even if he was"
250,29,2 10
250,30,"Priebus 1/18/18 302, at 9."
250,31,211
250,32,"Priebus 1/18/18 302, at 9; Flynn 11/17/17 302, at 10."
250,33,212
250,34,"Priebus 1/18/18 302, at 9; Flynn 11117/ 17 302 , at 10."
250,35,"213  SCR004 _00600 (2/16 / 17 Email, Burnham to Donaldson)."
250,36,214
250,37,"Sean Spicer, White House Daily Briefing, C-SPAN (Feb. 14, 2017) . After Flynn pleaded guilty"
250,38,"to violating 18 U .S.C. § I 00 I in December 2017, the President tweeted, ""I had to fire General Flynn because"
250,39,"he lied to the Vice President and the FBI."" @realDonaldTrump 12/2/ 17 (12: 14 p.m. ET) Tweet. The next"
250,40,"day , the President's personal counsel told the press that he had drafted the tweet. Maegan Vazquez et al.,"
250,41,"Trump's lawyer says he was behind President's tweet about firing Flynn, CNN (Dec. 3, 2017)."
250,42,"2 15 Christie 2/13/19 302, at 2-3; SCR0l2b_000022 (President's Daily Diary, 2/14/17)."
250,43,216
250,44,"Christie 2/13/19 302, at 3."
250,45,217
250,46,"Christie 2/13/19 302, at 3."
250,47,"218  Christie 2/13/19 302, at 3. Christie said he thought when the President said ""the Russia thing """
250,48,he was referring to not just the investigations but also press coverage about Russia. Christie thought the
250,49,"more important thing was that there was an investigation . Christie 2/13/19 302, at 4."
250,50,2 19
250,51,"Christie 2/13/19 302, at 3."
250,52,22
250,53,"°Christie 2/13/19 302, at 3."
250,54,221
250,55,"Christie 2/13/19 302, at 3."
250,56,38
250,57,NA
251,1,U.S. Department of Justice
251,2,Atterney \llerk Pt1eattet // May CeHtaiH Material Preteetea UHaer Fee. R. Ct1im.P. 6(e)
251,3,frustrated at times. 222 Christie also told the President that he would never be able to get rid of
251,4,"Flynn, ""like gum on the bottom of your shoe."" 223"
251,5,"Towards the end of the lunch, the President brought up Comey and asked if Christie was"
251,6,sti ll friendly with him. 224 Christie said he was. 225 The President told Christie to call Comey and
251,7,"tell him that the President ""really like[s] him . Tell him he's part of the team."" 226 At the end of the"
251,8,"lunch, the President repeated his request that Christie reach out to Comey. 227 Christie had no"
251,9,intention of complying with the President ' s request that he contact Comey .228 He thought the
251,10,"President's request was ""nonsensical "" and Christie did not want to put Comey in the position of"
251,11,having to receive such a phone call. 229 Christie thought it would have been uncomfortable to pass
251,12,on that message .230
251,13,"At 4 p.m. that afternoon, the President met with Comey, Sessions, and other officials for a"
251,14,"homeland security briefing. 231 At the end of the briefing, the President dismissed the other"
251,15,attendees and stated that he wanted to speak to Comey alone. 232 Sessions and senior advisor to the
251,16,"President Jared Kushner remained in the Oval Office as other patticipants left, but the President"
251,17,222
251,18,"Christie 2/13/19 302, at 3-4."
251,19,223
251,20,"Christie 2/13/19 302, at 3. Christie also recalled that during the lunch, Flynn called Kushner ,"
251,21,"who was at the lunch, and complained about what Spicer had said about Flynn in his press briefing that"
251,22,"day. Kushner told Flynn words to the effect of, ""You know the President respects you. The President cares"
251,23,"about you. I'll get the President to send out a positive tweet about you later."" Kushner looked at the"
251,24,"President when he mentioned the tweet, and the President nodded his assent. Christie 2/13/ 19 302, at 3."
251,25,Flynn recalled getting upset at Spicer's comments in the press conference and calling Kushner to say he did
251,26,"not appreciate the comments. Flynn 1/19/18 302, at 9."
251,27,224
251,28,"Christie 2/13/19 302, at 4."
251,29,225
251,30,"Christie 2/13/19 302, at 4."
251,31,226
251,32,"Christie 2/ 13/19 302, at 4-5."
251,33,227
251,34,"Christie 2/13/19 302, at 5."
